appid,title_new,rank_new,price_text_new,release_text_new
4529850,Runeward Online,2459,Free,To be announced
4089140,Engine Of Sin,2493,Unpriced (Coming Soon),To be announced
4242890,Encryptid,2826,Unpriced (Coming Soon),2026
3027810,Touhou Infinite Nocturne,2948,Free,Coming soon
4267800,Bandit Simulator TD,2993,Free,Coming soon
2509380,Hear My Cult,2994,Free,Coming soon
3440740,Disc Creatures WORLD,2995,Free,Coming soon
1852360,Warpaws,2996,Free,Coming soon
2551590,Section Six Requiem,2997,Free,Coming soon
1953430,DearMyFriend,2998,Unpriced (Coming Soon),2026
2823200,Mousebusters,2999,Unpriced (Coming Soon),"Jun 10, 2026"
