appid,title_old,rank_old
4508340,NTE: Neverness to Everness,331
3469450,DOOM: The Dark Ages | Revelations,653
4244770,Midnight Watcher: Village,1376
4624650,Moonlight Pale,1377
2101420,GIMMIKO,1378
4178100,Whiskers Tale,1379
2251220,High Times - Dating/Cooking Sim,1380
3136340,Echoes Below,1381
3275050,Ex Sanguis,1382
3825390,BLUE REFLECTION Quartet,1383
3378100,Killer Chat! - Expanded Edition,1384
3188660,Motocross The Game,1385
1742440,COP BASTARD,1386
1468110,Elements,1387
2154420,Never Alone 2,1388
2154780,Elation For The Wonder Box 6000,1389
2981400,Middle Ages: Peasants & Knights,1390
2593980,Trainfort,1391
4400800,American Truck Simulator - Indiana,1392
4193590,Salvation Denied,1393
1163350,Property Tycoon,1394
4195110,Ultrapool,1395
1439270,Full Circle,1396
2021960,Cozy Grove: Camp Spirit,1397
2775830,100 Pirate Cats,1398
1387810,Soup Pot,1399
2022640,CALX,1400
